workerid,age,gender,race,region,regionComments,verification_1,verification_2,stimulus1,stimulus2,speaker,sentence,intonation,context_condition,answer,certainty,comment
A31898LQJO7I3,age=1,gend=2,eth=2,Northeast (New Jersey),,Okay go out and play,Please don't have broken another glass,judy-filler1,judy-filler2,judy,filler2,,FILLER,response=hlevel,response=5,
A31898LQJO7I3,age=1,gend=2,eth=2,Northeast (New Jersey),,Enjoy the movie,id,kate-movie-hlevel,kate-movie-lfall,kate,movie,lfall,HLEVEL,response=hlevel,response=4,
A31898LQJO7I3,age=1,gend=2,eth=2,Northeast (New Jersey),,Don't forget your lunchbox,id,kate-lunchbox-hlevel,kate-lunchbox-hfall,kate,lunchbox,hfall,HLEVEL,response=hlevel,response=5,
A31898LQJO7I3,age=1,gend=2,eth=2,Northeast (New Jersey),,Remember to feed the cats,id,alex-cats-hlevel,alex-cats-lfall,alex,cats,lfall,LFALL,response=hlevel,response=4,
A31898LQJO7I3,age=1,gend=2,eth=2,Northeast (New Jersey),,Avoid the highway,id,kevin-highway-hlevel,kevin-highway-lfall,kevin,highway,lfall,LFALL,response=lfall,response=5,
A31898LQJO7I3,age=1,gend=2,eth=2,Northeast (New Jersey),,Have fun at the party,id,kate-party-hlevel,kate-party-lfall,kate,party,lfall,HFALL,response=lfall,response=5,
A31898LQJO7I3,age=1,gend=2,eth=2,Northeast (New Jersey),,Do you have questions abou the test results,Yes I am leaving for Cancun in a week,tyler-filler1,tyler-filler2,tyler,filler2,,FILLER,response=lfall,response=5,
A31898LQJO7I3,age=1,gend=2,eth=2,Northeast (New Jersey),,Get well soon,id,alex-well-hlevel,alex-well-lfall,alex,well,lfall,HLEVEL,response=hlevel,response=5,
A2VNR6984SDFGQ,age=3,gend=1,eth=3,PA,no,Don't forget your lunchbox.,Don't forget your lunchbox.,alex-lunchbox-hlevel,alex-lunchbox-hfall,alex,lunchbox,hfall,LFALL,response=hlevel,response=5,
A2VNR6984SDFGQ,age=3,gend=1,eth=3,PA,no,Good luck with the test.,id,alex-test-hlevel,alex-test-lfall,alex,test,lfall,HLEVEL,response=hlevel,response=5,
A2VNR6984SDFGQ,age=3,gend=1,eth=3,PA,no,Have fun at the party.,id,alex-party-hlevel,alex-party-hfall,alex,party,hfall,HLEVEL,response=hlevel,response=4,
A2VNR6984SDFGQ,age=3,gend=1,eth=3,PA,no,Okay go out and play.,Please don't have broken another glass.,judy-filler1,judy-filler2,judy,filler2,,FILLER,response=hlevel,response=5,
A2VNR6984SDFGQ,age=3,gend=1,eth=3,PA,no,Yes I leave for Cancun in a week.,Do you have questions about your test results?,tyler-filler1,tyler-filler2,tyler,filler2,,FILLER,response=lfall,response=5,
A2VNR6984SDFGQ,age=3,gend=1,eth=3,PA,no,Get well soon.,id,kate-well-hlevel,kate-well-lfall,kate,well,lfall,LFALL,response=hlevel,response=5,
A2VNR6984SDFGQ,age=3,gend=1,eth=3,PA,no,Hand in the assignment by noon.,id,judy-assignment-hlevel,judy-assignment-lfall,judy,assignment,lfall,LFALL,response=lfall,response=5,
A2VNR6984SDFGQ,age=3,gend=1,eth=3,PA,no,Remember to feed the cats.,id,bonnie-cats-hlevel,bonnie-cats-lfall,bonnie,cats,lfall,HLEVEL,response=hlevel,response=5,
A1LQHI9L1DXN13,age=2,gend=2,eth=1,southeast,none,don't forget your lunch box,id,alex-lunchbox-hlevel,alex-lunchbox-hfall,alex,lunchbox,hfall,HLEVEL,response=hlevel,response=4,
A1LQHI9L1DXN13,age=2,gend=2,eth=1,southeast,none,Have a nice trip,id,kevin-trip-hlevel,kevin-trip-hfall,kevin,trip,hfall,HLEVEL,response=hlevel,response=4,
A1LQHI9L1DXN13,age=2,gend=2,eth=1,southeast,none,yes im leaving for cancun in a week.,do you have questions about your test results?,tyler-filler1,tyler-filler2,tyler,filler2,,FILLER,response=lfall,response=5,
A1LQHI9L1DXN13,age=2,gend=2,eth=1,southeast,none,get well soon,id,kate-well-hlevel,kate-well-lfall,kate,well,lfall,HLEVEL,response=hlevel,response=5,
A1LQHI9L1DXN13,age=2,gend=2,eth=1,southeast,none,OK go out and play,Oh please dont have broken another glass.,judy-filler1,judy-filler2,judy,filler2,,FILLER,response=hlevel,response=5,
A1LQHI9L1DXN13,age=2,gend=2,eth=1,southeast,none,have fun at the party,id,alex-party-hlevel,alex-party-hfall,alex,party,hfall,HFALL,response=hlevel,response=4,
A1LQHI9L1DXN13,age=2,gend=2,eth=1,southeast,none,take a cookie,id,kate-cookie-hlevel,kate-cookie-hfall,kate,cookie,hfall,HFALL,response=lfall,response=5,
A1LQHI9L1DXN13,age=2,gend=2,eth=1,southeast,none,remember to feed the cats,id,bonnie-cats-hlevel,bonnie-cats-lfall,bonnie,cats,lfall,LFALL,response=lfall,response=4,
A1HN2W2M73O741,age=2,gend=1,eth=3,Midwest,none,hand in the assignment by noon,id,judy-assignment-hlevel,judy-assignment-lfall,judy,assignment,lfall,LFALL,response=hlevel,response=4,
A1HN2W2M73O741,age=2,gend=1,eth=3,Midwest,none,good luck with the test,id,alex-test-hlevel,alex-test-lfall,alex,test,lfall,HLEVEL,response=hlevel,response=5,
A1HN2W2M73O741,age=2,gend=1,eth=3,Midwest,none,have fun at the party,id,alex-party-hlevel,alex-party-hfall,alex,party,hfall,HLEVEL,response=hlevel,response=5,
A1HN2W2M73O741,age=2,gend=1,eth=3,Midwest,none,remember to feed the cats,id,bonnie-cats-hlevel,bonnie-cats-lfall,bonnie,cats,lfall,HLEVEL,response=hlevel,response=5,
A1HN2W2M73O741,age=2,gend=1,eth=3,Midwest,none,don't forget your lunchbox,id,alex-lunchbox-hlevel,alex-lunchbox-hfall,alex,lunchbox,hfall,LFALL,response=hlevel,response=4,
A1HN2W2M73O741,age=2,gend=1,eth=3,Midwest,none,get well soon,id,kate-well-hlevel,kate-well-lfall,kate,well,lfall,LFALL,response=hlevel,response=5,
A1HN2W2M73O741,age=2,gend=1,eth=3,Midwest,none,okay go out and play,please don't have broken another glass,judy-filler1,judy-filler2,judy,filler2,,FILLER,response=hlevel,response=5,
A1HN2W2M73O741,age=2,gend=1,eth=3,Midwest,none,yes I'm leaving for Cancoun in a week,do you have questions about your test results?,tyler-filler1,tyler-filler2,tyler,filler2,,FILLER,response=lfall,response=5,
AR2BJXE0VOYRV,age=4,gend=1,eth=3,Lafayette IN,,Take these pills for a week.,id,alex-pills-hlevel,alex-pills-lfall,alex,pills,lfall,LFALL,response=lfall,response=5,
AR2BJXE0VOYRV,age=4,gend=1,eth=3,Lafayette IN,,Have fun at the party!,id,kate-party-hlevel,kate-party-lfall,kate,party,lfall,HLEVEL,response=hlevel,response=5,
AR2BJXE0VOYRV,age=4,gend=1,eth=3,Lafayette IN,,Don't forget your lunch box.,id,kate-lunchbox-hlevel,kate-lunchbox-hfall,kate,lunchbox,hfall,LFALL,response=lfall,response=5,
AR2BJXE0VOYRV,age=4,gend=1,eth=3,Lafayette IN,,You have questions about your test results?,Yes I am leaving for Cancun in a week.,tyler-filler1,tyler-filler2,tyler,filler2,,FILLER,response=lfall,response=5,
AR2BJXE0VOYRV,age=4,gend=1,eth=3,Lafayette IN,,Remember to feed the cats.,id,alex-cats-hlevel,alex-cats-lfall,alex,cats,lfall,HLEVEL,response=hlevel,response=5,
AR2BJXE0VOYRV,age=4,gend=1,eth=3,Lafayette IN,,Enjoy your dinner,id,bonnie-dinner-hlevel,bonnie-dinner-lfall,bonnie,dinner,lfall,HLEVEL,response=hlevel,response=5,
AR2BJXE0VOYRV,age=4,gend=1,eth=3,Lafayette IN,,Please don't have broken another glass.,Ok go out and play,judy-filler1,judy-filler2,judy,filler2,,FILLER,response=hlevel,response=5,
AR2BJXE0VOYRV,age=4,gend=1,eth=3,Lafayette IN,,Get well soon,id,alex-well-hlevel,alex-well-lfall,alex,well,lfall,LFALL,response=lfall,response=5,
A1K55Z90VSYU9W,age=1,gend=2,eth=2,Bronx NY,,Hand in the assignment by noon.,id,judy-assignment-hlevel,judy-assignment-lfall,judy,assignment,lfall,LFALL,response=lfall,response=3,
A1K55Z90VSYU9W,age=1,gend=2,eth=2,Bronx NY,,Get well soon.,id,kate-well-hlevel,kate-well-lfall,kate,well,lfall,LFALL,response=hlevel,response=5,
A1K55Z90VSYU9W,age=1,gend=2,eth=2,Bronx NY,,*Sigh* Ok go out and play.,Ugh please don't have broken another glass.,judy-filler1,judy-filler2,judy,filler2,,FILLER,response=hlevel,response=5,
A1K55Z90VSYU9W,age=1,gend=2,eth=2,Bronx NY,,Remember to feed the cats.,id,bonnie-cats-hlevel,bonnie-cats-lfall,bonnie,cats,lfall,HLEVEL,response=hlevel,response=3,
A1K55Z90VSYU9W,age=1,gend=2,eth=2,Bronx NY,,Have fun at the party.,id,alex-party-hlevel,alex-party-hfall,alex,party,hfall,HLEVEL,response=hlevel,response=5,
A1K55Z90VSYU9W,age=1,gend=2,eth=2,Bronx NY,,Don't forget your lunchbox.,id,alex-lunchbox-hlevel,alex-lunchbox-hfall,alex,lunchbox,hfall,LFALL,response=hlevel,response=3,
A1K55Z90VSYU9W,age=1,gend=2,eth=2,Bronx NY,,Do you have questions about your test results?,Yes I am leaving for Cancun in a week.,tyler-filler1,tyler-filler2,tyler,filler2,,FILLER,response=lfall,response=5,
